	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
F20D6.5	0	0	0	83.1010911797216	199.152692790557	239.97268258137	0	0	0	86.6833075055889	38.8614508879366	79.4682926212019	3992.81076510522	0	0	0
F20D6.6	149.158196636114	0	0	162.318953799643	238.787503886466	244.960567438719	0	0	0	26.9017161224241	89.1902151526414	74.0722974432191	0	0	0	0
F20G2.1	0	32.2550720801182	0	12.4263313913602	20.5513835312122	19.9515394293979	0	0	1.83376632534248	6.40517050533908	19.1121889612803	0.490545016180259	0	0	0	0
F20G2.2	1.93711943683265	0	0	290.077173417066	278.422314982375	227.780075152293	0	0	2569.10662180482	198.987297032534	219.153100089347	161.389310323305	0	982.160262943079	134.522160474175	0
F20G2.3	0	0	0	10200.4647808828	2810.15703856552	2021.75599551233	18882.0840648817	0	5.50129897602745	6521.74460853625	6992.51286796708	5111.96961361448	0.584085834567762	0	22258.5258435496	1.09270088750646
F20H11.4	1071.22704856845	3899.63821448629	847.538190232999	794.120240479116	598.926034338185	564.739407737681	0	92.6935115822598	3882.08331075004	452.205037676939	630.70223572225	523.902077280516	0	144.882204533592	0	0
F21A3.11	0	0	0	326.191199023206	378.487980033159	437.271239160972	0	0	0	506.43548128881	296.238928899845	618.086720387126	0	0	0	10.5627752458958
F21A9.1	0	0	0	15.9212370951803	25.1999107585102	22.7225865723699	0	0	0	15.3724092128138	10.1931674460162	14.7163504854078	0	0	577.222361307368	0
F21C10.10	292.50503496173	3.22550720801182	4551.59398458463	176.686899470904	185.94108909192	285.972065154704	3324.67913440003	0	0	181.90684235163	87.9160692218893	211.915446989872	0	0	203.006169442845	0
F21C10.11	0	3041.65329715514	0	217.072476492824	293.835852630785	622.377188311497	0	0	0	163.545353569658	104.479966321666	288.440469513992	16.3544033678973	0	135.745089205758	0
F21C10.13	0	0	0	10.0963942554802	12.4776257153789	23.2767960009643	0	0	0	26.0476933883789	9.55609448064015	17.6596205824893	0	0	234.190852098222	0
F21C10.18	0	0	2.0926868894642	195.326396557944	252.488426240608	119.709236576388	0	0	0	185.322933287811	150.986292794114	189.35037624558	0	0	1512.45710878578	0
F21C10.3	0	0	0	390.652793115888	260.072865400936	328.646191156472	4021.56713854519	0	7.33506530136993	730.616448975678	335.100379787781	562.655133558757	0	0	1886.3675684674	0.36423362916882
F21C10.4	1011.17634602664	0	0	135.912999593003	39.6348110959093	29.3730997155025	0	0	0	241.688433734795	107.665331148546	196.708551488284	0	0	0	0
F21C10.7	1011.17634602664	1364.389548989	640.362188176044	3406.36809265663	2624.2159494736	4545.62573333117	134.970403964873	117.411781337529	491.449375191785	3588.17651709095	2394.75727684842	3789.95079500868	83.52427434319	91.7044665399891	68.4840089686708	6344.94982012084
F21C10.9	0	0	0	2011.90071683242	698.747040061216	1729.68762664308	0	3.08978371940866	7.33506530136993	3798.26610966608	1323.20054908597	4244.1954799916	4724.08622998406	0	0	0
F21C3.6	0	109.667245072402	2.0926868894642	28.7358913425206	48.6872062227528	47.6620108591173	0	0	0	5.55114777129387	15.9268241344002	11.2825353721459	0	0	0	0
F21D12.3	0	17485.4745746321	2.0926868894642	514.91610702949	347.905564064093	538.13735516515	0	0	1.83376632534248	811.748608709973	375.873049571846	674.008852231675	75.3470726592414	0.271314989763281	7371.20292961898	0
F21D5.3	592.75854767079	0	0	2225.8666104774	1720.93371141127	1336.19893234107	0	8126.13118204478	19505.772402668	5115.16916556379	1759.59553036854	1491.25684918799	0	1893.50731355794	0	258.241643080693
F21D5.5	0	0	0	245.031722123385	232.915680020405	164.600200292533	0	0	0	252.36371791036	157.357022447874	253.121228349013	3363.16623544118	0	0	9791.32841931622
F21D5.6	0	0	6.27806066839259	146.009393848483	189.610979008208	145.20287029173	7468.82143572965	0	0	214.786717612371	110.21362301005	211.915446989872	0	0	0	0
F21D5.7	1307.55561986204	8215.36685880609	2571.9121871515	749.851434897395	645.166647283413	547.00470602266	0	0	78.8519519897268	855.303768146279	670.200759575562	922.715175435067	3010.37839136225	0	136.662285754446	0
F21F3.6	3451.94683643578	0	0	647.722523774653	580.821244084498	518.740025164347	1.37724902004972	0	1.83376632534248	678.094050831898	444.676929832455	615.143450290044	0	10015.050217132	0.305732182895852	466.219045336089
F21F3.7	1.93711943683265	0	0	164.260568079543	74.6210949645206	87.0108802893188	2842.64197738263	0	0	165.680410404771	122.318009352194	170.70966563073	0	0	0	0
F21G4.1	0	0	0	132.418093889183	115.968521354698	150.190755149079	0	0	0	158.848228532409	96.8350907371535	78.9777476050216	0	0	1432.35527686706	0
F21G4.6	0	25378.290712637	0	192.219813710104	166.123683543966	105.854000861528	0	2088.69379432025	0	227.597058623049	159.268241344002	269.309213882962	0	0	0	0
F21H7.2	9.68559718416323	0	0	260.952959218565	292.857215319774	335.850913728199	0	0	1.83376632534248	201.976376601692	181.565795132163	188.8598312294	0	0	17.4267344250635	17.1189805709345
