,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
alx-1,310.5561294,-1.925486822,2.400562086,-0.802929044,0.422015748,0.848787821
aly-2,11.51879908,4.932920071,2.455140207,2.18247513,NA,NA
aly-3,910.0790662,0.071019277,2.400211431,0.029599265,NA,NA
ama-1,9.485170332,0.036026645,2.409137378,0.014946055,NA,NA
aman-1,725.2386021,-1.083727534,2.400254958,-0.451628716,0.651536479,0.975916092
aman-2,570.5054352,0.607070913,2.400277727,0.252954353,0.800303487,0.988447238
ampd-1,1233.024561,-1.982010912,2.400231203,-0.826624196,0.408450099,0.83538427
amph-1,229.8747253,-0.799760354,2.400525101,-0.333191606,0.738989654,0.988447238
amt-2,6.218802424,0.268438389,2.413978047,0.111134844,NA,NA
amt-3,282.0510909,3.117978162,2.401122573,1.302288477,0.192817789,0.523514966
amt-4,823.4935887,1.43064377,2.400258265,0.596402257,NA,NA
amx-1,1328.80366,3.092564303,2.400326326,1.291903504,NA,NA
amx-3,0.556776604,2.296727889,2.500667319,0.925945009,NA,NA
anat-1,319.5963487,-2.475376615,2.400688124,-1.032736787,NA,NA
anc-1,2887.145906,-2.35983628,1.582384672,-1.491405724,0.135855006,0.404678873
ani-1,11.30337899,-5.765256168,2.460609654,-2.42608589,0.015262658,0.068481364
ani-2,1726.591235,10.45502241,2.430376113,4.550255755,NA,NA
ani-3,90.82625488,-5.284473861,2.412561912,-2.206223604,0.027368347,0.112984366
anmt-1,2.174162167,-3.899675578,2.4736612,-1.638499817,NA,NA
anmt-2,270.5563525,0.457442503,2.400448858,0.190585398,NA,NA
anmt-3,122.3231829,8.376304653,2.454908261,8.316530987,NA,NA
anoh-1,2518.357018,8.346130317,2.404730256,3.540967561,NA,NA
anoh-2,193.1206945,7.942909536,2.440832584,3.377424554,NA,NA
anr-1,55.34780756,-7.582812878,2.455532241,-7.74976273,NA,NA
anr-10,2.659058501,-4.134693977,2.471103153,-1.737412357,NA,NA
anr-22,3.030627386,-4.275990933,2.469740589,-1.797865077,NA,NA
anr-29,5.413766589,-4.935577471,2.464739385,-7.166591939,NA,NA
anr-34,94.81131447,7.776075438,2.453071499,3.557902024,0.000373829,0.002561346
anr-37,88.8214446,-8.125460309,2.454523391,-8.434066673,3.34E-17,6.65E-16
anr-38,4.07467238,-4.61459967,2.466925504,-1.940662911,NA,NA
anr-4,16.7265765,6.096159162,2.460130377,7.395365991,NA,NA
anr-5,3.050617815,-4.261859717,2.469871443,-1.793994178,NA,NA
anr-54,1.204540076,-0.215154225,2.001845749,-0.107350454,0.914510959,NA
anr-55,2.391098101,1.056935067,1.580872464,0.669298914,0.503304819,0.915625675
anr-57,4.184335074,0.965542014,2.047003349,0.472935477,0.636259213,0.973926826
anr-7,10.27777592,5.538956541,2.462169411,7.167665033,NA,NA
